"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"1",2021-01-14,2021-01-01,"2021","11110","서울_종로","청운현대","서울특별시 종로구 청운동 56-45 청운현대",130000,2000,130,2,3300,1
"2",2021-01-07,2021-01-01,"2021","11110","서울_종로","광화문스페이스본","서울특별시 종로구 사직동 9-1 광화문스페이스본",150000,2008,145,6,3414,1
"3",2021-01-15,2021-01-01,"2021","11110","서울_종로","경희궁의아침2단지","서울특별시 종로구 내수동 71 경희궁의아침2단지",175000,2004,175,4,3300,1
"4",2021-01-15,2021-01-01,"2021","11110","서울_종로","경희궁의아침2단지","서울특별시 종로구 내수동 71 경희궁의아침2단지",175000,2004,175,4,3300,1
"5",2021-01-17,2021-01-01,"2021","11110","서울_종로","경희궁의아침3단지","서울특별시 종로구 내수동 72 경희궁의아침3단지",180000,2004,123,13,4829,1
"6",2021-01-17,2021-01-01,"2021","11110","서울_종로","경희궁의아침3단지","서울특별시 종로구 내수동 72 경희궁의아침3단지",180000,2004,123,13,4829,1
"7",2021-01-25,2021-01-01,"2021","11110","서울_종로","대성스카이렉스","서울특별시 종로구 견지동 110 대성스카이렉스",127000,2008,150,11,2794,1
"8",2021-01-07,2021-01-01,"2021","11110","서울_종로","현대뜨레비앙","서울특별시 종로구 익선동 55 현대뜨레비앙",29800,2003,46,5,2138,1
"9",2021-01-26,2021-01-01,"2021","11110","서울_종로","현대뜨레비앙","서울특별시 종로구 익선동 55 현대뜨레비앙",29500,2003,46,4,2116,1
"10",2021-01-25,2021-01-01,"2021","11110","서울_종로","효성쥬얼리시티","서울특별시 종로구 인의동 48-2 효성쥬얼리시티",86500,2006,85,9,3358,1
"11",2021-01-23,2021-01-01,"2021","11110","서울_종로","CS타워","서울특별시 종로구 충신동 62-2 CS타워",15000,2011,22,7,2250,1
"12",2021-01-15,2021-01-01,"2021","11110","서울_종로","송림아마레스아파트","서울특별시 종로구 명륜1가 2-12 송림아마레스아파트",63000,2003,85,1,2446,1
"13",2021-01-12,2021-01-01,"2021","11110","서울_종로","아남1","서울특별시 종로구 명륜2가 4 아남1",110000,1995,85,7,4271,1
"14",2021-01-12,2021-01-01,"2021","11110","서울_종로","아남3","서울특별시 종로구 명륜2가 237 아남3",160000,1999,172,8,3070,1
"15",2021-01-22,2021-01-01,"2021","11110","서울_종로","아남3","서울특별시 종로구 명륜2가 237 아남3",160000,1999,172,8,3070,1
"16",2021-01-02,2021-01-01,"2021","11110","서울_종로","창신쌍용2","서울특별시 종로구 창신동 703 창신쌍용2",65000,1993,65,14,3300,1
"17",2021-01-02,2021-01-01,"2021","11110","서울_종로","창신쌍용2","서울특별시 종로구 창신동 703 창신쌍용2",88000,1993,116,2,2503,1
"18",2021-01-16,2021-01-01,"2021","11110","서울_종로","창신쌍용2","서울특별시 종로구 창신동 703 창신쌍용2",67500,1993,65,7,3427,1
"19",2021-01-16,2021-01-01,"2021","11110","서울_종로","창신쌍용2","서울특별시 종로구 창신동 703 창신쌍용2",74000,1993,80,14,3052,1
"20",2021-01-18,2021-01-01,"2021","11110","서울_종로","일우","서울특별시 종로구 창신동 602 일우",31000,2002,59,4,1734,1
"21",2021-01-19,2021-01-01,"2021","11110","서울_종로","두산","서울특별시 종로구 창신동 232 두산",92000,1999,85,5,3572,1
"22",2021-01-21,2021-01-01,"2021","11110","서울_종로","창신쌍용1","서울특별시 종로구 창신동 702 창신쌍용1",73000,1992,80,2,3011,1
"23",2021-01-23,2021-01-01,"2021","11110","서울_종로","창신쌍용2","서울특별시 종로구 창신동 703 창신쌍용2",64000,1993,65,4,3249,1
"24",2021-01-23,2021-01-01,"2021","11110","서울_종로","창신이수","서울특별시 종로구 창신동 23-816 창신이수",83500,2003,84,9,3280,1
"25",2021-01-25,2021-01-01,"2021","11110","서울_종로","두산","서울특별시 종로구 창신동 232 두산",102000,1999,85,6,3960,1
"26",2021-01-26,2021-01-01,"2021","11110","서울_종로","창림","서울특별시 종로구 창신동 639-20 창림",32000,1994,60,4,1760,1
